At what type of location do you live? ,Are you a 10MS Paid User or not?,Are you the student / the parent?,Gender,Location (District),Location (Division),Which grade is the student in?,What is the highest level of education of the students' parents?,At what type of school does the student pursue full-time education?,How does the student (or their family) fund the student's education? ,What was the student's marks in their most recent academic year?,Does the student have his/her own mobile phone or uses a shared mobile phone?,"On a scale of 1-5 with 1 being Strongly Disagree to 5 Strongly Agree, has the student has seen an improvement in their learning since they started using 10MS.",How likely is the student to recommend 10MS to a friend? (10 (very likely) to 1 (very unlikely)),"What is the monthly  income of the student's household? (Please ask your parent, in case you are a student)","What is the amount of monthly school fees paid for the student? (in BDT)

(raw data)","What is the amount of monthly school fees paid for the student? (in BDT)

(cleaned data)","What is the cost of after-school tuition class for the student, per subject per month?

(raw data)","What is the cost of after-school tuition class for the student, per subject per month?

(cleaned data)",Why did you choose to use 10MS? (Can select more than one),,,,,,"If any, which of the following improvements has the student witnessed due to using 10MS? (can choose multiple ones)",,,,,,What would you like to see at 10MS in future?,,,,,
Village/Sub-district,No,Student ,Female,Sylhet,Sylhet,Grade 11,Up to Grade 12,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,4,10,"BDT 16,000 - 24,000",0,0,"3,000","3,000",Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More Subjects,More classes for low connectivity locations (lower data usage),Lower cost,,,
Village/Sub-district,No,Student ,Male,Manikganj,Dhaka,Grade 12,Upto Grade 10,"Public school, government run",Other,60 to 70,Own mobile phone,5,0,"BDT 12,000 - 16,000",হ্যা,0,"1,500","1,500","Convenience, no need to travel",,,,,,The student feels more motivated in their studies.,,,,,,More Subjects,,,,,
Village/Sub-district,No,Student ,Male,Mymensingh,Mymensingh,Grade 11,Up to Grade 12,Private school,Other,70 to 80,Own mobile phone,5,5,"< BDT 12,000",4 brother ,0,"3,000","3,000",Cheaper cost of access,,,,,,The student feels more motivated in their studies.,,,,,,More Subjects,,,,,
Village/Sub-district,Yes,Student ,Male,Sunamganj,Sylhet,Grade 11,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,70 to 80,Own mobile phone,5,10,"BDT 12,000 - 16,000",তিন ভাই এক বোন।বোন আর আমি লেখাপড়া করি।,0,"কোচিং+প্রাইভেট=৩৫০০+(প্রতি মাস),থাকা খাওয়া করচ=৭০০০ (প্রতি মাস)","3,500",Quality of teachers,Cheaper cost of access,,,,,The student feels more motivated in their studies.,,,,,,More options for student tutoring/support,More classes for low connectivity locations (lower data usage),,,,
Village/Sub-district,No,Student ,Male,Chandpur,Chittagong,Grade 10,Upto Grade 10,"Public school, government run",Grant (financial aid from school or govenrment),Below 60,Shared mobile phone within the family,2,9,"BDT 12,000 - 16,000",০ টাকা,0,"1,000","1,000",Others,,,,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,,,,,
Village/Sub-district,No,Student ,Male,Barguna,Barisal,Grade 12,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,Below 60,Own mobile phone,4,5,"< BDT 12,000",🤔,0,500,500,Quality of teachers,"Convenience, no need to travel",Cheaper cost of access,Others,,,The student feels more motivated in their studies.,,,,,,More options for student tutoring/support,More classes for low connectivity locations (lower data usage),Lower cost,,,
Village/Sub-district,No,Student ,Male,Narsingdi,Dhaka,Grade 10,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,70 to 80,Own mobile phone,4,10,"< BDT 12,000",সরকারি স্কুলে পড়ে,0,1500-2000,"1,750",Travel restriction to in-person centers,Online community of learners,,,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,More options for student tutoring/support,Lower cost,,,
Village/Sub-district,No,Student ,Male,Chuadanga,Khulna,Grade 09,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,Below 60,Own mobile phone,1,10,"< BDT 12,000",নেই ,0,১১০০/-,"1,100",Quality of teachers,,,,,,The student feels more effective/efficient in their studies.,,,,,,Lower cost,,,,,
Village/Sub-district,No,Student ,Male,Dhaka,Dhaka,Grade 11,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,60 to 70,Own mobile phone,5,10,"< BDT 12,000",বৃত্তিপ্রাপ্ত,0,"ICT প্রাইভেটে ৬০০ টাকা, আর বেতন ৫০০ টাকা(যদিও কলেজ সরকারি,কিন্তুু বেতন লাগে)",600,Online community of learners,,,,,,The student feels more effective/efficient in their studies.,The student has gained access to extracurricular scholar opportunities.,,,,,More options for student tutoring/support,More classes for low connectivity locations (lower data usage),Lower cost,,,
District City,No,Student ,Male,Bogura,Rajshahi,Grade 11,Up to Grade 12,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,2,5,"BDT 12,000 - 16,000",সরকারি কলেজ এ অধ্যায়নরত বিধায় মাসিক বেতন নগন্য,0,"পদার্থবিজ্ঞান ৫০০, রসায়ন ৮০০, গণিত ৬০০, জীববিজ্ঞান ৭০০, ইংরেজি ৬০০","3,200","Convenience, no need to travel",,,,,,The student feels more effective/efficient in their studies.,,,,,,Lower cost,,,,,
Village/Sub-district,No,Student ,Male,Chittagong,Chittagong,Grade 10,Up to Grade 12,"Public school, government run",Self-pay/Sourced from Family,70 to 80,Shared mobile phone within the family,5,0,"< BDT 12,000",পাইনি ,0,গনিত -৫০০ হিসাববিজ্ঞান -৫০০,"1,000",Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Safety or health related reasons,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,The student has gained access to extracurricular scholar opportunities.,,,More Subjects,More classes for low connectivity locations (lower data usage),Lower cost,,,
Village/Sub-district,Yes,Student ,Male,Cumilla,Chittagong,Grade 11,Up to Masters,Private school,Self-pay/Sourced from Family,60 to 70,Own mobile phone,3,5,"BDT 16,000 - 24,000",My sister is still very young so it doesn't cost much,0,500,500,Content quality,Quality of teachers,Travel restriction to in-person centers,Cheaper cost of access,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,,
Village/Sub-district,No,Student ,Male,Cox's Bazar,Chittagong,Grade 10,Upto Grade 10,Private school,Self-pay/Sourced from Family,Below 60,Own mobile phone,2,5,"< BDT 12,000",ভাই -বোন নাই,0,"গ্রুপ Subject এর জন্য ৫০০ টাকা, আর অন্য বিষয়ের জন্য ১০০ টাকা",600,Quality of teachers,,,,,,The student feels more effective/efficient in their studies.,,,,,,Lower cost,,,,,
Village/Sub-district,Yes,Student ,Male,Dinajpur,Rangpur,Grade 11,Upto Grade 10,Private school,Loan,80 to 100 ,Own mobile phone,4,10,"< BDT 12,000","ভাইয়া, কাজ করে।",0,"2,000","2,000",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Others,,The student feels more motivated in their studies.,,,,,,More classes for low connectivity locations (lower data usage),Lower cost,,,,
Divisional City/City Corporation,Yes,Student ,Female,Dhaka,Dhaka,Grade 11,Up to Masters,Private school,Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,3,5,"> BDT 45,000",N/A,0,"10,000","10,000",Content quality,Quality of teachers,Travel restriction to in-person centers,Cheaper cost of access,Others,,The student feels more effective/efficient in their studies.,,,,,,More options for student tutoring/support,Strengthen on-line student community,Lower cost,,,
Village/Sub-district,No,Student ,Male,Dinajpur,Rangpur,Grade 11,Upto Grade 10,"Public school, government run",Other,Below 60,Own mobile phone,5,10,"< BDT 12,000",Vai bon nei ,0,4500tk,"4,500",Cheaper cost of access,,,,,,The student feels more effective/efficient in their studies.,,,,,,More options for student tutoring/support,,,,,
District City,No,Student ,Female,Dinajpur,Rangpur,Grade 11,Up to Grade 12,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,4,10,"< BDT 12,000",Jani na,0,"3,000","3,000",Others,,,,,,The student feels more effective/efficient in their studies.,,,,,,Strengthen on-line student community,,,,,
Divisional City/City Corporation,Yes,Student ,Female,Narayanganj,Dhaka,Grade 11,Up to University (Bachelor's),Private school,Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,5,10,"BDT 12,000 - 16,000",ভাই-বোন নেই ,0,অন্য বিষয়ে কোনো কোচিং করি না ,0,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Cheaper cost of access,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More Subjects,More options for student tutoring/support,More classes for low connectivity locations (lower data usage),Lower cost,,
Divisional City/City Corporation,Yes,Student ,Female,Dhaka,Dhaka,Grade 11,Up to Masters,Private school,Self-pay/Sourced from Family,Below 60,Own mobile phone,3,5,"BDT 24,000 - 45,000",0,0,"1,800","1,800",Content quality,Quality of teachers,"Convenience, no need to travel",,,,The student feels more effective/efficient in their studies.,,,,,,More options for student tutoring/support,,,,,
District City,Yes,Student ,Female,Jessore,Khulna,Grade 11,Up to University (Bachelor's),Private school,Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,1,6,"BDT 24,000 - 45,000",জানি না,0,"10,000","10,000",Quality of teachers,Travel restriction to in-person centers,Safety or health related reasons,Others,,,No improvement was seen,,,,,,Lower cost,,,,,
Village/Sub-district,Yes,Student ,Female,Narayanganj,Dhaka,Grade 11,Up to University (Bachelor's),"Public school, government run",Self-pay/Sourced from Family,70 to 80,Shared mobile phone within the family,3,8,"< BDT 12,000",0,0,500,500,Content quality,Travel restriction to in-person centers,Cheaper cost of access,,,,The student feels more effective/efficient in their studies.,,,,,,Lower cost,,,,,
Divisional City/City Corporation,Yes,Student ,Male,Dhaka,Dhaka,Grade 12,Up to Grade 12,"Public school, government run",Other,60 to 70,Own mobile phone,4,9,"< BDT 12,000",Vai bon nae,0,Dependent on 10 minute school,0,Content quality,Quality of teachers,"Convenience, no need to travel",Cheaper cost of access,,,The student feels more effective/efficient in their studies.,,,,,,More options for student tutoring/support,Lower cost,,,,
District City,Yes,Student ,Female,Khagrachari,Chittagong,Grade 12,Up to Masters,Private school,Self-pay/Sourced from Family,70 to 80,Own mobile phone,3,5,"BDT 16,000 - 24,000",)জানি না,0,"1,000","1,000",Content quality,,,,,,The student feels more effective/efficient in their studies.,,,,,,More options for student tutoring/support,Strengthen on-line student community,,,,
Village/Sub-district,No,Student ,Do not want to disclose,Thakurgaon,Rangpur,Grade 12,Upto Grade 10,Private school,Self-pay/Sourced from Family,60 to 70,Own mobile phone,5,0,"BDT 16,000 - 24,000",Nai,0,6000৳,"6,000",Others,,,,,,The student feels more motivated in their studies.,,,,,,More Subjects,More classes for low connectivity locations (lower data usage),Lower cost,,,
Village/Sub-district,No,Student ,Male,Jamalpur,Mymensingh,Grade 11,Upto Grade 10,"Public school, government run",Grant (financial aid from school or govenrment),70 to 80,Shared mobile phone within the family,3,10,"< BDT 12,000",নেই,0,২০০০ টাকা ,"2,000",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Cheaper cost of access,Others,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has gained access to extracurricular scholar opportunities.,,,,More Subjects,More options for student tutoring/support,More classes for low connectivity locations (lower data usage),Lower cost,,
